1	INF	hi
2	INF	hi
3	INF	hi
4	INF	hi
5	INF	hi
6	INF	hi
7	INF	hi
8	INF	hi
9	INF	hi
10	TFM	hi
11	INF	hi
12	TFM	hi
13	INF	hi
14	INF	hi
15	INF	hi
16	INF	hi
17	INF	hi
18	AIE	lo
19	AIE	lo
20	INF	hi
21	INF	hi
22	INF	hi
23	INF	hi
24	INF	hi
25	INF	hi
26	INF	hi
27	INF	hi
28	INF	hi
29	INF	hi
30	INF	hi
31	INF	hi
32	CUDA	lo
33	INF	hi
34	INF	hi
35	INF	hi
36	INF	hi
37	INF	hi
38	INF	hi
39	INF	hi
40	INF	hi
41	INF	hi
42	INF	hi
43	INF	hi
44	INF	hi
45	LAND	hi
46	INF	hi
47	INF	hi
48	INF	hi
49	RAG	hi
50	RAG	hi
51	FT	lo
52	CUDA	hi
53	INBOX	hi
54	INF	hi
55	INF	hi
56	INF	hi
57	FT	lo
58	CUDA	lo
59	INF	hi
60	FT	lo
61	INF	hi
62	FT	hi
63	TFM	hi
64	CUDA	hi
65	INF	hi
66	AIE	hi
67	LAND	lo
68	INBOX	hi
69	RAG	hi
70	INF	hi
71	INF	hi
72	INF	hi
73	INF	hi
74	INF	hi
75	INF	hi
76	LAND	lo
77	INF	hi
78	INF	hi
79	AIE	hi
80	ML	lo
81	INF	hi
82	INF	lo
83	INF	hi
84	FT	hi
85	LAND	hi
86	INF	hi
87	INF	hi
88	AIE	hi
89	ML	hi
90	ML	hi
91	INF	hi
92	INF	hi
93	CUDA	hi
94	LAND	lo
95	INF	hi
96	INF	hi
97	CUDA	hi
98	FT	hi
99	TFM	hi
100	FT	hi
101	FT	hi
102	TFM	lo
103	FT	hi
104	FT	hi
105	TFM	lo
106	INF	hi
107	AIE	hi
108	ML	hi
109	TFM	lo
110	INF	hi
111	CUDA	hi
112	TFM	hi
113	TFM	hi
114	FT	lo
115	RAG	hi
116	LAND	hi
117	RAG	hi
118	RAG	hi
119	INF	hi
120	INF	hi
121	INF	lo
122	FT	hi
123	FT	hi
124	LAND	hi
125	FT	hi
126	AIE	hi
127	ML	hi
128	ML	hi
129	INBOX	hi
130	ML	hi
131	ML	hi
132	ML	hi
133	ML	hi
134	AIE	hi
135	FT	hi
136	FT	hi
137	ML	hi
138	ML	hi
139	ML	hi
140	ML	lo
141	ML	hi
142	ML	hi
143	CUDA	lo
144	INF	hi
145	INF	hi
146	INF	hi
147	FT	hi
148	FT	hi
149	RAG	hi
150	FT	hi
151	INF	hi
152	TFM	hi
153	TFM	hi
154	LAND	lo
155	FT	hi
156	RAG	hi
157	FT	hi
158	RAG	hi
159	RAG	hi
160	RAG	hi
161	RAG	hi
162	RAG	hi
163	RAG	hi
164	FT	hi
165	FT	hi
166	RAG	hi
167	INBOX	hi
168	RAG	hi
169	INBOX	hi
170	ML	hi
171	FT	hi
172	FT	lo
173	RAG	hi
174	FT	lo
175	RAG	hi
176	TFM	lo
177	FT	hi
178	RAG	hi
179	RAG	hi
180	RAG	hi
181	AIE	hi
182	FT	hi
183	FT	lo
184	LAND	hi
185	AIE	hi
186	AIE	hi
187	AIE	hi
188	TFM	hi
189	TFM	lo
190	INF	hi
191	FT	hi
192	FT	hi
193	FT	hi
194	INF	hi
195	ML	lo
196	FT	hi
197	FT	hi
198	FT	hi
199	FT	hi
200	FT	hi
201	FT	hi
202	FT	hi
203	FT	hi
204	FT	hi
205	FT	hi
206	FT	hi
207	FT	hi
208	INBOX	hi
209	FT	hi
210	FT	hi
211	TFM	hi
212	FT	hi
213	TFM	hi
214	TFM	hi
215	TFM	hi
216	ML	hi
217	ML	hi
218	ML	hi
219	ML	hi
220	ML	hi
221	ML	hi
222	ML	hi
223	ML	lo
224	ML	hi
225	ML	hi
226	ML	hi
227	ML	hi
228	ML	hi
229	ML	hi
230	ML	lo
231	ML	hi
232	ML	hi
233	ML	hi
234	ML	hi
235	ML	hi
236	ML	hi
237	ML	hi
238	ML	hi
239	ML	hi
240	ML	hi
241	ML	hi
242	ML	hi
243	ML	hi
244	ML	hi
245	ML	hi
246	ML	hi
247	ML	hi
248	INBOX	hi
249	ML	hi
250	ML	hi
251	AIE	hi
252	ML	hi
253	ML	hi
254	INBOX	hi
255	ML	lo
256	FT	lo
257	RAG	hi
258	INBOX	hi
259	ML	hi
260	INBOX	hi
261	ML	hi
262	AIE	lo
263	LAND	hi
264	LAND	hi
265	INF	hi
266	AIE	hi
267	AIE	hi
268	ML	hi
269	TFM	lo
270	AIE	hi
271	LAND	hi
272	AIE	lo
273	ML	hi
274	ML	hi
275	INBOX	hi
276	ML	hi
277	ML	hi
278	ML	hi
279	INBOX	hi
280	INBOX	hi
281	ML	hi
282	ML	hi
283	ML	hi
284	ML	hi
285	ML	hi
286	ML	hi
287	CUDA	hi
288	ML	hi
289	ML	hi
290	ML	lo
291	INBOX	hi
292	ML	hi
293	AIE	hi
294	INBOX	hi
295	LAND	hi
296	LAND	hi
297	LAND	hi
298	INF	hi
299	FT	lo
300	LAND	hi
301	FT	hi
302	LAND	hi
